Nummer;Klas;Tekstnaam;Veld;Code;Veldnummer;Verbandnummer;Dataset
105;1;Beton;?;o;1;0;Veni
120;1;Beton;/;o;1;0;Veni
218;2;Beton;?;o;1;0;Veni
220;2;Beton;?;o;1;0;Veni
309;3;Beton;?;o;1;0;Veni
317;3;Beton;?;o;1;0;Veni
414;4;Beton;?;o;1;0;Veni
602;6;Beton;?;o;1;0;Veni
909;9;Beton;?;o;1;0;Veni
918;9;Beton;?;o;1;0;Veni
1002;10;Beton;?;o;1;0;Veni
1007;10;Beton;?;o;1;0;Veni
1010;10;Beton;?;o;1;0;Veni
1211;12;Beton;;o;1;0;Veni
1215;12;Beton;?;o;1;0;Veni
1307;13;Beton;?;o;1;0;Veni
1414;14;Beton;?;o;1;0;Veni
1509;15;Beton;?;o;1;0;Veni
1514;15;Beton;?;o;1;0;Veni
1715;17;Beton;;o;1;0;Veni
2017;20;Beton;?;o;1;0;Veni
2023;20;Beton;?;o;1;0;Veni
2304;23;Beton;?;o;1;0;Veni
2413;MA3B ;Beton;?;o;1;0;Veni
2602;V2B;Beton;?;o;1;0;Veni
2803;A3A;Beton;?;o;1;0;Veni
2910;V4Vf;Beton;?;o;1;0;Veni
2921;V4Vf;Beton;?;o;1;0;Veni
3112;H4NE3;Beton;?;o;1;0;Veni
3203;VG2A;Beton;?;o;1;0;Veni
3316;V3X;Beton;?;o;1;0;Veni
3812;A2B;Beton;?;o;1;0;Veni
4101;h4b;Beton;?;o;1;0;Veni
4106;h4b;Beton;?;o;1;0;Veni
4124;h4b;Beton;?;o;1;0;Veni
4215;A2B;Beton;?;o;1;0;Veni
4216;A2B;Beton;?;o;1;0;Veni
4305;havo4;Beton;?;o;1;0;Veni
4307;havo4;Beton;?;o;1;0;Veni
4310;havo4;Beton;?;o;1;0;Veni
4315;havo4;Beton;?;o;1;0;Veni
4408;2V2A;Beton;?;o;1;0;Veni
4701;V2BGS;Beton;?;o;1;0;Veni
4702;V2BGS;Beton;?;o;1;0;Veni
4712;V2BGS;Beton;?;o;1;0;Veni
5101;A4;Beton;?;o;1;0;Veni
5104;A4;Beton;?;o;1;0;Veni
5202;5vwo ;Beton;?;o;1;0;Veni
5503;5VWO;Beton;?;o;1;0;Veni
5520;5VWO;Beton;?;o;1;0;Veni
5610;2M;Beton;?;o;1;0;Veni
6013;h4a;Beton;?;o;1;0;Veni
6018;h4a;Beton;?;o;1;0;Veni
121;1;Beton;?;o;2;0;Veni
218;2;Beton;?;o;2;0;Veni
220;2;Beton;?;o;2;0;Veni
301;3;Beton;?;o;2;0;Veni
309;3;Beton;?;o;2;0;Veni
317;3;Beton;?;o;2;0;Veni
414;4;Beton;?;o;2;0;Veni
602;6;Beton;?;o;2;0;Veni
805;8;Beton;;o;2;0;Veni
807;8;Beton;?;o;2;0;Veni
817;8;Beton;?;o;2;0;Veni
909;9;Beton;?;o;2;0;Veni
918;9;Beton;?;o;2;0;Veni
1002;10;Beton;?;o;2;0;Veni
1007;10;Beton;?;o;2;0;Veni
1010;10;Beton;?;o;2;0;Veni
1211;12;Beton;;o;2;0;Veni
1215;12;Beton;?;o;2;0;Veni
1307;13;Beton;?;o;2;0;Veni
1414;14;Beton;?;o;2;0;Veni
1509;15;Beton;?;o;2;0;Veni
1514;15;Beton;?;o;2;0;Veni
1715;17;Beton;;o;2;0;Veni
1825;18;Beton;?;o;2;0;Veni
2017;20;Beton;?;o;2;0;Veni
2023;20;Beton;?;o;2;0;Veni
2104;21;Beton;?;o;2;0;Veni
2108;21;Beton;?;o;2;0;Veni
2109;21;Beton;?;o;2;0;Veni
2304;23;Beton;?;o;2;0;Veni
2413;MA3B ;Beton;?;o;2;0;Veni
2602;V2B;Beton;?;o;2;0;Veni
2803;A3A;Beton;?;o;2;0;Veni
2921;V4Vf;Beton;?;o;2;0;Veni
3112;H4NE3;Beton;?;o;2;0;Veni
3203;VG2A;Beton;?;o;2;0;Veni
3316;V3X;Beton;?;o;2;0;Veni
3803;A2B;Beton;?;o;2;0;Veni
4101;h4b;Beton;?;o;2;0;Veni
4106;h4b;Beton;?;o;2;0;Veni
4124;h4b;Beton;?;o;2;0;Veni
4215;A2B;Beton;?;o;2;0;Veni
4216;A2B;Beton;?;o;2;0;Veni
4305;havo4;Beton;?;o;2;0;Veni
4307;havo4;Beton;?;o;2;0;Veni
4310;havo4;Beton;?;o;2;0;Veni
4408;2V2A;Beton;?;o;2;0;Veni
4409;2V2A;Beton;?;o;2;0;Veni
4410;2V2A;Beton;?;o;2;0;Veni
4701;V2BGS;Beton;?;o;2;0;Veni
4702;V2BGS;Beton;?;o;2;0;Veni
4712;V2BGS;Beton;?;o;2;0;Veni
5101;A4;Beton;?;o;2;0;Veni
5104;A4;Beton;?;o;2;0;Veni
5202;5vwo ;Beton;?;o;2;0;Veni
5520;5VWO;Beton;?;o;2;0;Veni
5610;2M;Beton;?;o;2;0;Veni
6013;h4a;Beton;?;o;2;0;Veni
6018;h4a;Beton;?;o;2;0;Veni
218;2;Beton;?;o;3;0;Veni
220;2;Beton;?;o;3;0;Veni
309;3;Beton;?;o;3;0;Veni
801;8;Beton;?;o;3;0;Veni
807;8;Beton;?;o;3;0;Veni
817;8;Beton;?;o;3;0;Veni
906;9;Beton;?;o;3;0;Veni
909;9;Beton;?;o;3;0;Veni
918;9;Beton;?;o;3;0;Veni
1010;10;Beton;?;o;3;0;Veni
1211;12;Beton;;o;3;0;Veni
1307;13;Beton;?;o;3;0;Veni
1412;14;Beton;?;o;3;0;Veni
1418;14;Beton;?;o;3;0;Veni
1509;15;Beton;?;o;3;0;Veni
1514;15;Beton;?;o;3;0;Veni
1521;15;Beton;?;o;3;0;Veni
1715;17;Beton;;o;3;0;Veni
2023;20;Beton;?;o;3;0;Veni
2104;21;Beton;?;o;3;0;Veni
2207;22;Beton;?;o;3;0;Veni
2322;23;Beton;?;o;3;0;Veni
2602;V2B;Beton;?;o;3;0;Veni
2615;V2B;Beton;?;o;3;0;Veni
2803;A3A;Beton;?;o;3;0;Veni
2828;A3A;Beton;?;o;3;0;Veni
2921;V4Vf;Beton;?;o;3;0;Veni
3203;VG2A;Beton;?;o;3;0;Veni
3803;A2B;Beton;?;o;3;0;Veni
4101;h4b;Beton;?;o;3;0;Veni
4106;h4b;Beton;?;o;3;0;Veni
4124;h4b;Beton;?;o;3;0;Veni
4216;A2B;Beton;?;o;3;0;Veni
4305;havo4;Beton;?;o;3;0;Veni
4307;havo4;Beton;?;o;3;0;Veni
4310;havo4;Beton;?;o;3;0;Veni
4408;2V2A;Beton;?;o;3;0;Veni
4701;V2BGS;Beton;?;o;3;0;Veni
4702;V2BGS;Beton;?;o;3;0;Veni
4712;V2BGS;Beton;?;o;3;0;Veni
5101;A4;Beton;?;o;3;0;Veni
5104;A4;Beton;?;o;3;0;Veni
5610;2M;Beton;?;o;3;0;Veni
6010;h4a;Beton;?;o;3;0;Veni
6013;h4a;Beton;?;o;3;0;Veni
6018;h4a;Beton;?;o;3;0;Veni
218;2;Beton;?;o;4;0;Veni
220;2;Beton;?;o;4;0;Veni
309;3;Beton;?;o;4;0;Veni
508;5;Beton;?;o;4;0;Veni
807;8;Beton;?;o;4;0;Veni
906;9;Beton;?;o;4;0;Veni
909;9;Beton;?;o;4;0;Veni
918;9;Beton;?;o;4;0;Veni
921;9;Beton;?;o;4;0;Veni
1010;10;Beton;?;o;4;0;Veni
1211;12;Beton;;o;4;0;Veni
1215;12;Beton;?;o;4;0;Veni
1307;13;Beton;?;o;4;0;Veni
1412;14;Beton;?;o;4;0;Veni
1501;15;Beton;?;o;4;0;Veni
1514;15;Beton;?;o;4;0;Veni
1521;15;Beton;?;o;4;0;Veni
1715;17;Beton;;o;4;0;Veni
2009;20;Beton;?;o;4;0;Veni
2023;20;Beton;?;o;4;0;Veni
2114;21;Beton;?;o;4;0;Veni
2207;22;Beton;?;o;4;0;Veni
2307;23;Beton;?;o;4;0;Veni
2310;23;Beton;?;o;4;0;Veni
2411;MA3B ;Beton;?;o;4;0;Veni
2418;MA3B ;Beton;?;o;4;0;Veni
2615;V2B;Beton;?;o;4;0;Veni
2803;A3A;Beton;?;o;4;0;Veni
2829;A3A;Beton;?;o;4;0;Veni
2910;V4Vf;Beton;?;o;4;0;Veni
2921;V4Vf;Beton;?;o;4;0;Veni
3101;H4NE3;Beton;?;o;4;0;Veni
3108;H4NE3;Beton;?;o;4;0;Veni
3203;VG2A;Beton;?;o;4;0;Veni
3218;VG2A;Beton;?;o;4;0;Veni
3323;V3X;Beton;?;o;4;0;Veni
3701;hv3b;Beton;?;o;4;0;Veni
3711;hv3b;Beton;?;o;4;0;Veni
3803;A2B;Beton;?;o;4;0;Veni
3812;A2B;Beton;?;o;4;0;Veni
4101;h4b;Beton;?;o;4;0;Veni
4106;h4b;Beton;?;o;4;0;Veni
4110;h4b;Beton;?;o;4;0;Veni
4124;h4b;Beton;?;o;4;0;Veni
4216;A2B;Beton;?;o;4;0;Veni
4305;havo4;Beton;?;o;4;0;Veni
4307;havo4;Beton;?;o;4;0;Veni
4408;2V2A;Beton;?;o;4;0;Veni
4412;2V2A;Beton;?;o;4;0;Veni
4701;V2BGS;Beton;?;o;4;0;Veni
4702;V2BGS;Beton;?;o;4;0;Veni
4712;V2BGS;Beton;?;o;4;0;Veni
5209;5vwo ;Beton;?;o;4;0;Veni
5530;5VWO;Beton;?;o;4;0;Veni
5610;2M;Beton;?;o;4;0;Veni
6010;h4a;Beton;?;o;4;0;Veni
6013;h4a;Beton;?;o;4;0;Veni
415;4;Beton;?;o;5;0;Veni
906;9;Beton;?;o;5;0;Veni
1005;10;Beton;?;o;5;0;Veni
1211;12;Beton;;o;5;0;Veni
1705;17;Beton;?;o;5;0;Veni
2304;23;Beton;?;o;5;0;Veni
2402;MA3B ;Beton;?;o;5;0;Veni
2411;MA3B ;Beton;?;o;5;0;Veni
2418;MA3B ;Beton;?;o;5;0;Veni
2506;H4B;Beton;?;o;5;0;Veni
3312;V3X;Beton;?;o;5;0;Veni
3316;V3X;Beton;?;o;5;0;Veni
4305;havo4;Beton;?;o;5;0;Veni
5111;A4;Beton;?;o;5;0;Veni
102;1;Beton;gebouwen gebouwd van beton;c;1;0;Veni
112;1;Beton;Gebruik van beton in gebouwen;c;1;0;Veni
117;1;Beton;er wordt beton gebruikt voor de bouw van gebouwen;c;1;0;Veni
202;2;Beton;vanaf jaren 70 veel betonbouw;c;1;0;Veni
206;2;Beton;betonnen platen van gebouwen worden neergezet;c;1;0;Veni
208;2;Beton;gebouwen worden van beton gemaakt;c;1;0;Veni
217;2;Beton;beton is slecht bestand tegen hitte;c;1;0;Veni
224;2;Beton;beton moet worden goedgekeurd;c;1;0;Veni
301;3;Beton;betonnen gebouwen worden gebouwd;c;1;0;Veni
304;3;Beton;er wordt veel beton gebruikt voor het bouwen van gebouwen;c;1;0;Veni
312;3;Beton;steeds meer gebouwen worden van beton gemaakt;c;1;0;Veni
314;3;Beton;gebruik van slechtere soort beton;c;1;0;Veni
407;4;Beton;huizen en gebouwen van beton;c;1;0;Veni
416;4;Beton;gebouwengemaakt van beton;c;1;0;Veni
418;4;Beton;gebouwen van beton;c;1;0;Veni
424;4;Beton;beton gebruikt voor gebouwen;c;1;0;Veni
428;4;Beton;gebouwen worden gemaakt van beto;c;1;0;Veni
432;4;Beton;beton word gestord;c;1;0;Veni
508;5;Beton;veel gebouwen van beton;c;1;0;Veni
514;5;Beton;gebouw is van beton gemaakt;c;1;0;Veni
522;5;Beton;beton is sterk;c;1;0;Veni
527;5;Beton;veel gebouwen bestaan uit beton;c;1;0;Veni
601;6;Beton;het is warm in de vs;c;1;0;Veni
606;6;Beton;beton wordt in veel gebouwen gebruikt;c;1;0;Veni
612;6;Beton;beton wort vaak gebruikt in gebouwen;c;1;0;Veni
618;6;Beton;gebouwen worden van beton gemaakt;c;1;0;Veni
708;7;Beton;verwarming van het beton;c;1;0;Veni
710;7;Beton;betnnen gebouwen maken;c;1;0;Veni
714;7;Beton;beton wordt nat;c;1;0;Veni
719;7;Beton;er wordt vaak niet goed dagedacht over de plaatsing van warmte installaie;c;1;0;Veni
804;8;Beton;beton wordt veel gebruikt als bouwmateriaal;c;1;0;Veni
807;8;Beton;in nederlandmoet het een certificaat hebben;c;1;0;Veni
812;8;Beton;er worden betonnen gebouwen gemaakt;c;1;0;Veni
815;8;Beton;er worden gebouwen met beton gebouwd;c;1;0;Veni
817;8;Beton;veel beton gebouwen;c;1;0;Veni
906;9;Beton;liften moet vaak korten worden gemaakt;c;1;0;Veni
912;9;Beton;het wordt warm;c;1;0;Veni
914;9;Beton;betom wordt getest of het goed is;c;1;0;Veni
921;9;Beton;liften worden vaak van beton gemaakt;c;1;0;Veni
926;9;Beton;gebouwen worden gebouwd met beton met certificaat;c;1;0;Veni
1001;10;Beton;Betonnen gebouwen bouwen;c;1;0;Veni
1005;10;Beton;beton is een veelgebuikt bouwmateriaal;c;1;0;Veni
1006;10;Beton;veel gebouen zijn van beton;c;1;0;Veni
1008;10;Beton;veel gebouwen zijn gemaatk van beton;c;1;0;Veni
1101;11;Beton;betonnen gebouwen zijn heel oud;c;1;0;Veni
1102;11;Beton;beton gaat snel kapot;c;1;0;Veni
1104;11;Beton;beton wort gebruikt om een gebouw te bouwen;c;1;0;Veni
1108;11;Beton;beton is sterk;c;1;0;Veni
1111;11;Beton;het weer wordt warmer;c;1;0;Veni
1203;12;Beton;temperatuur verandert in de loop der jaren;c;1;0;Veni
1207;12;Beton;temperatuur stijgt;c;1;0;Veni
1208;12;Beton;bij de bouw van veel gebouwen wordt beton gebruikt;c;1;0;Veni
1214;12;Beton;zonlicht schijnt op het beton;c;1;0;Veni
1306;13;Beton;beton is een veel gebruikt bouwmiddel;c;1;0;Veni
1308;13;Beton;beton krimpt bij hoge temperaturen;c;1;0;Veni
1309;13;Beton;beton wordt al vele jaren gebruikt voor de bouw van gebouwen;c;1;0;Veni
1315;13;Beton;betonnen gebouwen worden gebouwd;c;1;0;Veni
1405;14;Beton;betonwordt gebruikt om iets te bouwen;c;1;0;Veni
1417;14;Beton;veel regen op beton;c;1;0;Veni
1418;14;Beton;beton;c;1;0;Veni
1419;14;Beton;beton wordt gebruikt om te bouwen;c;1;0;Veni
1516;15;Beton;gebouwen worden van beton gemaakt;c;1;0;Veni
1519;15;Beton;beton is niet altijde van goede kwaliteit;c;1;0;Veni
1525;15;Beton;gebouwen woren van beton gemaakt;c;1;0;Veni
1603;16;Beton;er wordt vaak beton gebruikt voor het bouwen van gebouwen ;c;1;0;Veni
1606;16;Beton;er wordt veel beton gebruikt om huizen te bouwen en het wordt verwarmt;c;1;0;Veni
1608;16;Beton;beton heeft een KOMO-keurmerk nodig;c;1;0;Veni
1701;17;Beton;veel gebouwen worden van beton gemaakt;c;1;0;Veni
1703;17;Beton;er wordt meer beton gebruikt in gebouwen;c;1;0;Veni
1705;17;Beton;nieuwe gebouwen;c;1;0;Veni
1802;18;Beton;beton is nog steeds een veelgebruikt bouwmateriaal;c;1;0;Veni
1812;18;Beton;veel gebouwen van beton;c;1;0;Veni
1816;18;Beton;certificaat voor beton in de bouw;c;1;0;Veni
1817;18;Beton;er wordt steeds meer beton gebruikt voor het bouwen van gebouwen;c;1;0;Veni
1819;18;Beton;beton moet sinds 1962 een komo-certificaat hebben;c;1;0;Veni
1825;18;Beton;beton wordt gecontroleerd;c;1;0;Veni
1826;18;Beton;veel gebouwen van beton gemaakt;c;1;0;Veni
1902;19;Beton;betonnen gebouwen zijn 'gevoelig' van warmte;c;1;0;Veni
1907;19;Beton;gebouwen worden met beton gebouwd ;c;1;0;Veni
1918;19;Beton;beton moest een kmwo keurmerk hebben;c;1;0;Veni
1920;19;Beton;beton wordt als bouwmateriaal gebruikt;c;1;0;Veni
1922;19;Beton;beonnen materiaal is nogsteeds een veel gebruikte methode om gebouwen te maken;c;1;0;Veni
2009;20;Beton;beton was gevarlijk (slechte kwaliteit);c;1;0;Veni
2019;20;Beton;mensen krijgen het koud;c;1;0;Veni
2026;20;Beton;komo-certificaat?;c;1;0;Veni
2103;21;Beton;beton wordt vaak bij bouw gebruikt;c;1;0;Veni
2104;21;Beton;er worden betonnen gebouwen gemaakt;c;1;0;Veni
2107;21;Beton;door warmte;c;1;0;Veni
2108;21;Beton;beton gebruken we om huize mee te maken;c;1;0;Veni
2112;21;Beton;betonnen gebouwen;c;1;0;Veni
2118;21;Beton;beton wordt extreem veel gebruikt;c;1;0;Veni
2119;21;Beton;beton word vaak gebruikt voor bouwen van huizen;c;1;0;Veni
2201;22;Beton;veel gebouwen zijn gemaakt / worden gebouwd met beton (wat een KOMO-certificaat moet hebben);c;1;0;Veni
2203;22;Beton;in de zomer is het warm;c;1;0;Veni
2212;22;Beton;beton wordt gebruikt voor gebouwen;c;1;0;Veni
2302;23;Beton;beton wordt veel gebruikt bij het maken van gebouwen;c;1;0;Veni
2307;23;Beton;gebouwen worden van beton gemaakt;c;1;0;Veni
2310;23;Beton;beton kan uitzetten;c;1;0;Veni
2311;23;Beton;beton wodt vaak gebruikt voor de bouw van grote gebouwen;c;1;0;Veni
2314;23;Beton;beton wordt al ongeveer 70 jaar gebruikt als bouwmateriaal;c;1;0;Veni
2328;23;Beton;beton gebruikt als bouwmateriaal;c;1;0;Veni
2402;MA3B ;Beton;gebouwen worden van beton gemaakt;c;1;0;Veni
2404;MA3B ;Beton;beton wordt veel gebruikt;c;1;0;Veni
2420;MA3B ;Beton;betonnen huis in de zomer;c;1;0;Veni
2422;MA3B ;Beton;er wordt tegenwoordig veel van beton gemaakt;c;1;0;Veni
2501;H4B;Beton;gebouwen worden met beton gemaakt;c;1;0;Veni
2505;H4B;Beton;beton is een veel gebruikte bouwsoort voor het bouwen van gebouwen;c;1;0;Veni
2514;H4B;Beton;gebouwen worden gemaakt van betonnen panelen;c;1;0;Veni
2603;V2B;Beton;Sinds 1962 KIMO certificaat ;c;1;0;Veni
2605;V2B;Beton;gebouwen worden vaak van beton gemaakt;c;1;0;Veni
2615;V2B;Beton;beton word gebruikt om huizen te maken;c;1;0;Veni
2621;V2B;Beton;beton word al lang gebruikt;c;1;0;Veni
2807;A3A;Beton;beton word vaak gebruikt als bouwmateriaal;c;1;0;Veni
2813;A3A;Beton;gebouwen worden van beton gemaakt;c;1;0;Veni
2814;A3A;Beton;er worden gebouwen gemaakt van beton;c;1;0;Veni
2818;A3A;Beton;in betonnen gebouwen is het vaak koud;c;1;0;Veni
2820;A3A;Beton;veel gebouwen worden van beton gemaakt;c;1;0;Veni
2825;A3A;Beton;gebouwen worden gemaakt van beton;c;1;0;Veni
2828;A3A;Beton;er zijn veel gebouwen van beton;c;1;0;Veni
2902;V4Vf;Beton;grote gebouwen bestaan vaak deels uit beton;c;1;0;Veni
2924;V4Vf;Beton;gebouwen worden gemaakt van betonnen platen;c;1;0;Veni
3002;MA3B;Beton;beton is een materiaal;c;1;0;Veni
3003;MA3B;Beton;gebouwen met slecht beton gebouwd;c;1;0;Veni
3004;MA3B;Beton;word veel met beton gebouwd in Nederland;c;1;0;Veni
3008;MA3B;Beton;beton word vaak gebruikt in gebouwen;c;1;0;Veni
3009;MA3B;Beton;beton is een sterk materiaal;c;1;0;Veni
3011;MA3B;Beton;gebouw van beton word gebouwd;c;1;0;Veni
3012;MA3B;Beton;beton wordt vaak gebruikt in gebouwen;c;1;0;Veni
3101;H4NE3;Beton;veel gebouwen worden weg gehaalt;c;1;0;Veni
3110;H4NE3;Beton;bouwen met beton;c;1;0;Veni
3204;VG2A;Beton;beton moet KOMO status hebben;c;1;0;Veni
3205;VG2A;Beton;betonnen gebouwen;c;1;0;Veni
3207;VG2A;Beton;er worden gebouwen van beton gemaakt;c;1;0;Veni
3215;VG2A;Beton;er worden steeds meer betonnen gebouwen gebouwd;c;1;0;Veni
3217;VG2A;Beton;er wordt een betonnen gebouw gemakt;c;1;0;Veni
3302;V3X;Beton;betonnen gebouwen worden gebouwd;c;1;0;Veni
3312;V3X;Beton;veel geobuwen zijn gebouwd met beton;c;1;0;Veni
3319;V3X;Beton;veel betonnen gebouwen;c;1;0;Veni
3323;V3X;Beton;gebouwen zijn gebouwd van beton;c;1;0;Veni
3329;V3X;Beton;beton wordt gebruikt voor contructie van gebouwen;c;1;0;Veni
3701;hv3b;Beton;beton is een veel gebruikte bouwsoort;c;1;0;Veni
3703;hv3b;Beton;beton wordt nat;c;1;0;Veni
3707;hv3b;Beton;gebouwen moeten warm zijn;c;1;0;Veni
3711;hv3b;Beton;in betonnen gebouwen scheuren vaak de muren door druk;c;1;0;Veni
3718;hv3b;Beton;beton wordt gebruikt voor bijv. gebouwen;c;1;0;Veni
3726;hv3b;Beton;het regent veel;c;1;0;Veni
3807;A2B;Beton;beton krimpt door te lang gebruik;c;1;0;Veni
3808;A2B;Beton;beton wordt gemaakt met water (?);c;1;0;Veni
3815;A2B;Beton;er worden betonnen gebouwen gebouwd;c;1;0;Veni
3823;A2B;Beton;ze maken gebouwen van beton;c;1;0;Veni
4004;v4hg;Beton;gebouwen worden van beton gemaakt;c;1;0;Veni
4009;v4hg;Beton;beton word warm;c;1;0;Veni
4013;v4hg;Beton;beton meest gebruikte bouwmateriaal;c;1;0;Veni
4017;v4hg;Beton;beton word al jaren gebruikt als een populair bouwmiddel;c;1;0;Veni
4018;v4hg;Beton;beton word vaak gebruikt als bouwmiddel;c;1;0;Veni
4020;v4hg;Beton;betonnen gebouw wordt gemaakt;c;1;0;Veni
4028;v4hg;Beton;beton moet komo verklaring hebben;c;1;0;Veni
4105;h4b;Beton;het is vaak warm in en om betonnen gebouwen;c;1;0;Veni
4110;h4b;Beton;beton moet goed worden gebruikt in de bouw;c;1;0;Veni
4113;h4b;Beton;beton is handig;c;1;0;Veni
4117;h4b;Beton;rekening houden met soort betoon;c;1;0;Veni
4122;h4b;Beton;gebouwen worden soms van beton gemaakt;c;1;0;Veni
4206;A2B;Beton;veel gebouwen worden van beton gemaakt;c;1;0;Veni
4209;A2B;Beton;gebouwen worden van beton gebouwd;c;1;0;Veni
4223;A2B;Beton;er worden al heel lang betonnen gebouwen gebouwd in de eu;c;1;0;Veni
